"ITTER107","Territorio","TIPO_DATO_CN1","Tipo aggregato (milioni di euro)","VAL","Valutazione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",262966.2,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","V","prezzi correnti","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",4322.4,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","V","prezzi correnti","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",5068.6,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","Y","prezzi dell'anno precedente","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",4343.1,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","Y","prezzi dell'anno precedente","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",5107.5,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",4361.4,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",5129,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","V","prezzi correnti","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",6722.5,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","V","prezzi correnti","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",12034.7,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","Y","prezzi dell'anno precedente","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",6707.9,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","Y","prezzi dell'anno precedente","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",11962.6,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q1","T1-2019",6557.1,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M10","Ott-2019","2019-Q2","T2-2019",11693.7,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",260716.2,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",265399,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",261929.3,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",262525.5,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",256072.8,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",256655.7,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",263157.7,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",272323.4,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",264335.6,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",269338.6,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",258295.4,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",263184.1,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",4280.9,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",5110.1,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",4301.5,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",5149.3,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",4319.7,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",5171,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",6722.4,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",12034.5,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",6707.8,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",11962.4,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q1","T1-2019",6557,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M10","Ott-2019","2019-Q2","T2-2019",11693.5,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","V","prezzi correnti","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",265758.1,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","V","prezzi correnti","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",266010.1,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",264625.1,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",264778.3,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",258708.3,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",258858.1,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","V","prezzi correnti","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",271356.3,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","V","prezzi correnti","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",271599.6,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",270137.4,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",270258,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",263964.6,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",264082.4,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","V","prezzi correnti","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",5284.8,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","V","prezzi correnti","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",5342.8,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",5321.4,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",5383.6,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",5343.8,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",5406.3,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","V","prezzi correnti","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",10883,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","V","prezzi correnti","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",10932.3,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",10833.6,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",10863.3,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q1","T1-2019",10590.1,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M10","Ott-2019","2019-Q2","T2-2019",10619.1,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","Y","prezzi dell'anno precedente","N","dati grezzi","2019M11","Nov-2019","2019-Q1","T1-2019",264428,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","Y","prezzi dell'anno precedente","N","dati grezzi","2019M11","Nov-2019","2019-Q2","T2-2019",268951.2,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","Y","prezzi dell'anno precedente","N","dati grezzi","2019M11","Nov-2019","2019-Q3","T3-2019",280654.1,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","V","prezzi correnti","N","dati grezzi","2019M11","Nov-2019","2019-Q1","T1-2019",4322.5,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","V","prezzi correnti","N","dati grezzi","2019M11","Nov-2019","2019-Q2","T2-2019",5068.6,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","V","prezzi correnti","N","dati grezzi","2019M11","Nov-2019","2019-Q3","T3-2019",7506,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q1","T1-2019",260556.2,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q2","T2-2019",265228,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q3","T3-2019",272015.8,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q1","T1-2019",6557.2,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q2","T2-2019",11694.5,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q3","T3-2019",16722,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M11","Nov-2019","2019-Q1","T1-2019",5418.7,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M11","Nov-2019","2019-Q2","T2-2019",5520.9,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","L_2015","valori concatenati con anno di riferimento 2015","Y","dati destagionalizzati","2019M11","Nov-2019","2019-Q3","T3-2019",5706.5,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","V","prezzi correnti","N","dati grezzi","2019M11","Nov-2019","2019-Q1","T1-2019",260832.9,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","V","prezzi correnti","N","dati grezzi","2019M11","Nov-2019","2019-Q2","T2-2019",264958,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","V","prezzi correnti","N","dati grezzi","2019M11","Nov-2019","2019-Q3","T3-2019",271797.4,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","Y","prezzi dell'anno precedente","N","dati grezzi","2019M11","Nov-2019","2019-Q1","T1-2019",4344.2,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","Y","prezzi dell'anno precedente","N","dati grezzi","2019M11","Nov-2019","2019-Q2","T2-2019",5108.1,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","Y","prezzi dell'anno precedente","N","dati grezzi","2019M11","Nov-2019","2019-Q3","T3-2019",7567,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","V","prezzi correnti","N","dati grezzi","2019M11","Nov-2019","2019-Q1","T1-2019",6722.8,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","V","prezzi correnti","N","dati grezzi","2019M11","Nov-2019","2019-Q2","T2-2019",12034.9,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","V","prezzi correnti","N","dati grezzi","2019M11","Nov-2019","2019-Q3","T3-2019",17230,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q1","T1-2019",261788.3,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q2","T2-2019",262364.4,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q3","T3-2019",271327.4,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q1","T1-2019",262999.9,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q2","T2-2019",272151.2,,
"IT","Italia","P31_D_W2_S14","spesa per consumi finali sul territorio economico delle famiglie residenti e non residenti","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q3","T3-2019",281739.8,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q1","T1-2019",6708,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q2","T2-2019",11963.4,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q3","T3-2019",17106.6,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","V","prezzi correnti","Y","dati destagionalizzati","2019M11","Nov-2019","2019-Q1","T1-2019",265667.1,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","V","prezzi correnti","Y","dati destagionalizzati","2019M11","Nov-2019","2019-Q2","T2-2019",265926.4,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","V","prezzi correnti","Y","dati destagionalizzati","2019M11","Nov-2019","2019-Q3","T3-2019",266904.8,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M11","Nov-2019","2019-Q1","T1-2019",5395.9,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M11","Nov-2019","2019-Q2","T2-2019",5497.7,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","Y","prezzi dell'anno precedente","Y","dati destagionalizzati","2019M11","Nov-2019","2019-Q3","T3-2019",5682.6,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","V","prezzi correnti","Y","dati destagionalizzati","2019M11","Nov-2019","2019-Q1","T1-2019",10991.8,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","V","prezzi correnti","Y","dati destagionalizzati","2019M11","Nov-2019","2019-Q2","T2-2019",11049.9,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","V","prezzi correnti","Y","dati destagionalizzati","2019M11","Nov-2019","2019-Q3","T3-2019",11265.8,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M11","Nov-2019","2019-Q1","T1-2019",4362.5,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M11","Nov-2019","2019-Q2","T2-2019",5129.7,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","L_2015","valori concatenati con anno di riferimento 2015","N","dati grezzi","2019M11","Nov-2019","2019-Q3","T3-2019",7598.9,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q1","T1-2019",255935,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q2","T2-2019",256498.2,,
"IT","Italia","P31_D_W0_S14","spesa per consumi finali sul territorio economico e all'estero delle famiglie residenti","L_2015","valori concatenati con anno di riferimento 2015","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q3","T3-2019",265260.8,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q1","T1-2019",4300.4,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q2","T2-2019",5152.2,,
"IT","Italia","P31_D_W1_S14","spesa per consumi finali nel resto del mondo delle famiglie residenti (+) ","Y","prezzi dell'anno precedente","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q3","T3-2019",7567.1,,
"IT","Italia","P31_C_W1_S14","spesa per consumi finali nel territorio economico delle famiglie non residenti (-)","V","prezzi correnti","W","dati corretti per gli effetti di calendario","2019M11","Nov-2019","2019-Q1","T1-2019",6722.6,,
